C1:1
C2:1
C3:1
C4:1
CLK0:1
D1:1
D2:1
D3:1
D4:1
D5:1
D6:1
EXP1:1
IC1:1
IC2:1
IC3:1
IC4:1
JP1:1
JP2:1
JP4:1
JP5:1
LPT1:1
Q1:1
R1:1
R10:1
R11:1
R2:1
R3:1
R4:1
R5:1
R6:1
R7:1
R8:1
R9:1
S1:1
